parameter,missing_pct,missing_count,valid_count,reason
BMI kg/m2,96.62,1286,45,>85% missing
Bilirubina całkowita (TBIL),94.29,1255,76,>85% missing
Ca125 (CA125),96.92,1290,41,>85% missing
Estradiol (ESTRA),95.72,1274,57,>85% missing
Estradiol (L_ESTRA),97.45,1297,34,>85% missing
Gamma Glutamylotranspeptydaza (GGTP),94.21,1254,77,>85% missing
"Jonogram (Sód, potas, chlorki) (L_CI)",93.69,1247,84,>85% missing
"Jonogram (Sód, potas, chlorki) (L_K)",93.69,1247,84,>85% missing
"Jonogram (Sód, potas, chlorki) (L_NA)",93.69,1247,84,>85% missing
Kreatynina (KREAT),91.51,1218,113,>85% missing
Test z Synacthenem (L79_0),96.09,1279,52,>85% missing
Test z Synacthenem (L79_1),95.94,1277,54,>85% missing
Test z Synacthenem (L79_2),95.94,1277,54,>85% missing
insulin_30min_uU_ml,89.18,1187,144,>85% missing
insulin_60min_4pt_uU_ml,89.11,1186,145,>85% missing
insulin_120min_4pt_uU_ml,93.76,1248,83,>85% missing
