Parameter,original_name,data_type,n_total,n_nonnull,n_unique,mean,median,min,max,q1,q3,useful,exclude_reason,only_in_group,too_few_data,no_variance,formatting_errors,unit_unknown,outliers_detected,detected_unit,original_unit,merged_from,merged_into,category,recommended_action,notes
Wiek,Wiek,int64,1331,1331,21,21.10067618332081,21.0,16.0,41.0,19.0,23.0,True,[],,False,False,False,False,False,,,[],,,,[]
group,group,str,1331,1331,2,,,,,,,True,[],,False,False,False,False,False,,,[],,,,[]
subject_id,subject_id,str,1331,1331,1331,,,,,,,True,[],,False,False,False,False,False,,,[],,,,[]
17 - OH progesteron (L79) (17-OHPG),17 - OH progesteron (L79) (17-OHPG),float64,1331,965,248,1.1826027633851468,0.99,0.2,8.783333333333333,0.69,1.43,True,[],,False,False,False,False,False,,,[],,,,[]
17 OH progesteron (L79),17 OH progesteron (L79),float64,1331,212,172,2.069249213836478,2.125,0.14,5.24,1.3575000000000002,2.745,True,[],,False,False,False,False,False,,,[],,,,[]
ALAT (ALT),ALAT (ALT),float64,1331,263,161,19.642395437262362,16.4,5.0,127.0,12.95,22.0,True,[],,False,False,False,False,False,,,[],,,,[]
AMH (hormon anty-Mullerowski) (AMH_CP),AMH (hormon anty-Mullerowski) (AMH_CP),float64,1331,976,585,6.406019467213114,5.715,0.01,27.8,3.78,8.405000000000001,True,[],,False,False,False,False,False,,,[],,,,[]
AMH ng/ml,AMH ng/ml,float64,1331,45,44,3.4793333333333334,3.04,1.12,9.43,1.89,4.76,True,[],,False,False,False,False,False,,,[],,,,[]
AMH-anty Mullerian Hormon (AMH),AMH-anty Mullerian Hormon (AMH),float64,1331,147,139,6.959455782312925,6.15,1.34,19.85,4.359999999999999,8.515,True,[],,False,False,False,False,False,,,[],,,,[]
APTT Czas kaolinowo-kefalinowy (APTTCZ),APTT Czas kaolinowo-kefalinowy (APTTCZ),float64,1331,5,5,34.54,34.1,30.2,39.4,33.8,35.2,True,[],,False,False,False,False,False,,,[],,,,[]
